Model,Target,Test_Accuracy,Test_F1_Macro,Test_F1_Micro,Valid_Accuracy,Valid_F1_Macro,Method
Random Forest,target_human,0.47705314009661837,0.2559661683873192,0.47705314009661837,0.48507462686567165,0.3182152011578924,SMOTE
Random Forest,target_asv,0.6026570048309179,0.27803433213488904,0.6026570048309179,0.5435323383084577,0.2026992220353238,SMOTE
SVM,target_human,0.43478260869565216,0.23487694882431084,0.43478260869565216,0.4228855721393035,0.2612144959312761,SMOTE
SVM,target_asv,0.5603864734299517,0.246768233005117,0.5603864734299517,0.5223880597014925,0.22015779919005724,SMOTE
