Model,Target,Baseline_F1,Tuned_F1,Improvement,Pct_Improvement
Random Forest,target_human,0.2628904944871366,0.26117946291257543,-0.0017110315745611504,-0.6508533440507764
Random Forest,target_asv,0.2482865706360656,0.302699513464273,0.054412942828207383,21.91537894651781
SVM,target_human,0.2241177127540763,0.1830714754121988,-0.04104623734187751,-18.31458872102511
SVM,target_asv,0.2638430097125283,0.315206774921506,0.05136376520897773,19.467548245807773
