Model,Target,Test_Accuracy,Test_F1_Macro,Test_F1_Micro,Method
XGBoost,target_human,0.30676328502415456,0.1951235476270008,0.30676328502415456,SMOTE + Extreme Weights + Noise
SVM,target_human,0.4492753623188406,0.23850437856879433,0.4492753623188406,SMOTE + Extreme Weights + Noise
XGBoost,target_asv,0.5652173913043478,0.28850159054573027,0.5652173913043478,SMOTE + Extreme Weights + Noise
SVM,target_asv,0.605072463768116,0.2522637795275591,0.605072463768116,SMOTE + Extreme Weights + Noise
