Model,Target,Test_Accuracy,Test_F1_Macro,Test_F1_Micro,Valid_Accuracy,Valid_F1_Macro,Method
Random Forest,target_human,0.4782608695652174,0.2548235918295163,0.4782608695652174,0.5087064676616916,0.31691965665249694,SMOTE
Random Forest,target_asv,0.5929951690821256,0.294356812655537,0.5929951690821256,0.5161691542288557,0.19554229554229555,SMOTE
SVM,target_human,0.32971014492753625,0.1940203357479185,0.32971014492753625,0.35447761194029853,0.24342105263157895,SMOTE
SVM,target_asv,0.5446859903381642,0.2440976217874952,0.5446859903381642,0.48880597014925375,0.2052058111380145,SMOTE
