Model,Target,Test_Accuracy,Test_F1_Macro,Test_F1_Micro,Valid_Accuracy,Valid_F1_Macro
Random Forest,target_human,0.5374396135265701,0.26289049448713664,0.5374396135265701,0.5671641791044776,0.3439256522225954
Random Forest,target_asv,0.6533816425120773,0.24828657063606566,0.6533816425120773,0.6355721393034826,0.20322277185861662
SVM,target_human,0.4033816425120773,0.22411771275407638,0.4033816425120773,0.35199004975124376,0.234468128346697
SVM,target_asv,0.4963768115942029,0.2638430097125283,0.4963768115942029,0.4577114427860697,0.21458069240278096
