Model,Target,Test_Accuracy,Test_F1_Macro,Test_F1_Micro,Method
XGBoost,target_human,0.3393719806763285,0.20883424360551164,0.3393719806763285,SMOTE + Extreme Weights
SVM,target_human,0.4528985507246377,0.23807476890408424,0.4528985507246377,SMOTE + Extreme Weights
XGBoost,target_asv,0.5772946859903382,0.2892648962733294,0.5772946859903382,SMOTE + Extreme Weights
SVM,target_asv,0.5990338164251208,0.23442535694597696,0.5990338164251208,SMOTE + Extreme Weights
